crop,soil_type,pH_range,sowing_month,seed_rate_kg_per_acre,fertilizer_type,fertilizer_schedule,irrigation_freq_per_month,crop_duration_days,common_disease,treatment,expected_yield_quintal_per_acre
Garlic,Alluvial,6.8 - 8.0,Jun,16.3,DAP,Both,8,74,Blight,Remove infected parts,5.73
Sesame,Alluvial,7.1 - 8.0,Mar,8.5,Compost,Top Dressing,4,66,Anthracnose,Spray insecticide,26.47
Green Gram,Clay,7.3 - 8.5,Jan,21.9,DAP,Both,4,171,Leaf Spot,Use crop rotation,13.14
Cauliflower,Sandy loam,6.0 - 7.6,Apr,16.2,DAP,Basal,3,145,Blight,No treatment needed,22.82
Chili,Clay,5.9 - 8.4,Jul,24.1,NPK,Top Dressing,8,82,Stem Borer,Apply neem extract,15.19
Maize,Clay,7.0 - 8.3,Sep,16.5,Compost,Top Dressing,6,101,Leaf Spot,Remove infected parts,25.48
Coffee,Clay,6.2 - 8.3,Nov,28.3,Vermicompost,Both,4,180,Downy Mildew,Use crop rotation,8.38
Carrot,Loamy,5.9 - 7.8,Dec,29.3,NPK,Basal,6,162,Downy Mildew,Spray insecticide,12.14
Turmeric,Alluvial,6.7 - 8.0,Dec,17.1,DAP,Both,7,68,Blight,Use crop rotation,15.23
Sesame,Loamy,7.0 - 7.9,Sep,16.1,Vermicompost,Basal,6,73,Rust,Apply neem extract,29.29
Green Gram,Sandy loam,5.8 - 8.4,Oct,19.1,DAP,Basal,7,126,Leaf Spot,Use crop rotation,28.24
Onion,Sandy loam,5.8 - 8.3,Oct,11.5,DAP,Top Dressing,5,94,Downy Mildew,Use crop rotation,5.01
Wheat,Black soil,6.6 - 8.1,May,7.0,DAP,Top Dressing,3,95,Downy Mildew,No treatment needed,24.29
Chickpea,Black soil,7.1 - 8.2,Sep,9.3,Compost,Basal,2,96,Blight,Apply neem extract,7.07
Pumpkin,Sandy loam,6.2 - 8.1,Oct,7.6,Vermicompost,Basal,8,178,Blight,No treatment needed,22.18
Green Gram,Clay,6.3 - 8.0,Jan,17.1,DAP,Both,7,154,Rust,Use crop rotation,25.81
Spinach,Alluvial,5.5 - 7.7,Dec,25.2,Compost,Both,4,60,Powdery Mildew,Spray insecticide,16.28
Brinjal,Black soil,6.5 - 7.8,Aug,20.6,Vermicompost,Both,8,90,Downy Mildew,No treatment needed,27.94
Pigeon Pea,Sandy loam,5.9 - 8.5,Feb,28.9,NPK,Both,6,136,Downy Mildew,Apply neem extract,30.0
Carrot,Alluvial,7.2 - 7.8,Dec,13.8,NPK,Basal,7,85,Root Rot,No treatment needed,31.19
Potato,Loamy,6.7 - 7.8,Sep,10.6,Vermicompost,Top Dressing,5,78,No major disease,Use crop rotation,7.45
Cabbage,Sandy loam,5.7 - 7.7,Jul,26.5,DAP,Top Dressing,2,65,Powdery Mildew,Spray insecticide,29.75
Maize,Sandy loam,6.2 - 8.0,Jan,26.6,Urea,Both,4,89,Anthracnose,Use fungicide,14.12
Brinjal,Clay,6.4 - 8.1,Dec,5.2,NPK,Basal,8,128,Downy Mildew,Remove infected parts,30.74
Black Gram,Loamy,6.8 - 8.4,Mar,22.7,Urea,Basal,7,154,Blight,Apply neem extract,10.61
Apple,Sandy loam,5.9 - 7.9,Oct,6.0,DAP,Basal,5,83,Leaf Spot,Use crop rotation,21.52
Green Gram,Loamy,7.5 - 7.8,Nov,25.7,Urea,Basal,6,61,Stem Borer,Spray insecticide,18.83
Brinjal,Alluvial,7.1 - 8.0,Mar,6.1,Urea,Basal,8,97,Root Rot,Apply neem extract,18.56
Sweet Corn,Black soil,5.6 - 8.5,Jul,18.5,Compost,Basal,4,66,Anthracnose,Use fungicide,31.72
Mustard,Alluvial,6.3 - 7.8,Dec,25.1,Urea,Top Dressing,8,118,Downy Mildew,Use fungicide,8.58
Coffee,Sandy loam,6.9 - 7.8,Aug,6.6,NPK,Top Dressing,6,151,Blight,Spray insecticide,16.78
Ginger,Clay,6.0 - 8.5,Apr,19.9,Compost,Basal,7,145,Blight,Remove infected parts,19.73
Okra,Black soil,6.5 - 8.2,May,13.8,NPK,Both,3,157,No major disease,Apply neem extract,10.59
Okra,Sandy loam,6.1 - 8.3,Feb,4.9,Compost,Both,2,64,Wilt,Spray insecticide,32.34
Ginger,Alluvial,6.5 - 7.9,Aug,25.4,Urea,Top Dressing,7,87,Anthracnose,Remove infected parts,22.17
Sorghum,Clay,5.7 - 8.1,Jan,10.6,NPK,Basal,5,152,No major disease,Spray insecticide,15.55
Wheat,Loamy,6.0 - 7.9,Apr,17.1,NPK,Top Dressing,7,156,No major disease,Spray insecticide,24.81
Sesame,Black soil,7.3 - 7.9,Mar,5.9,Vermicompost,Basal,5,119,Root Rot,Use fungicide,16.95
Maize,Loamy,5.6 - 7.8,Apr,24.2,NPK,Both,4,129,Anthracnose,Spray insecticide,18.83
Rice,Sandy loam,6.3 - 8.0,Jan,15.9,DAP,Top Dressing,2,179,Anthracnose,Apply neem extract,10.82
Bottle Gourd,Black soil,7.2 - 8.1,Sep,24.8,Vermicompost,Basal,4,155,Leaf Spot,Use fungicide,7.63
Lemon,Alluvial,5.7 - 8.0,Feb,12.5,NPK,Basal,4,160,Downy Mildew,Remove infected parts,34.37
Rice,Loamy,6.1 - 7.9,Mar,17.7,Urea,Top Dressing,2,109,Wilt,No treatment needed,13.32
Finger Millet,Loamy,5.8 - 8.2,Jan,9.1,Urea,Both,4,61,Downy Mildew,Spray insecticide,28.11
Lemon,Clay,6.6 - 7.8,Jul,19.4,Urea,Both,6,109,Blight,Use fungicide,14.33
Brinjal,Sandy loam,6.7 - 7.9,Apr,18.6,DAP,Basal,4,97,Leaf Spot,No treatment needed,19.6
Mango,Alluvial,6.5 - 8.0,Nov,5.0,NPK,Both,7,129,Rust,No treatment needed,32.12
Banana,Sandy loam,6.4 - 7.6,Sep,6.9,Urea,Both,4,126,Root Rot,Apply neem extract,32.27
Pigeon Pea,Clay,7.2 - 7.9,May,8.8,Compost,Both,3,115,Blight,Use crop rotation,26.34
Coffee,Clay,6.0 - 7.7,Dec,5.3,NPK,Top Dressing,3,146,Stem Borer,No treatment needed,25.54
Papaya,Sandy loam,7.1 - 7.8,Jan,8.5,DAP,Top Dressing,7,73,Blight,No treatment needed,25.1
Mustard,Sandy loam,6.2 - 7.9,Jun,10.8,Urea,Top Dressing,5,166,Downy Mildew,Spray insecticide,20.08
Banana,Alluvial,6.3 - 8.4,Nov,7.8,Urea,Top Dressing,2,167,No major disease,Remove infected parts,13.37
Turmeric,Clay,6.8 - 8.0,May,3.3,DAP,Basal,4,83,No major disease,Use fungicide,19.45
Papaya,Alluvial,6.3 - 8.5,May,25.6,NPK,Both,5,126,Downy Mildew,Remove infected parts,23.74
Sorghum,Alluvial,6.1 - 7.6,May,3.2,Urea,Basal,7,174,Downy Mildew,No treatment needed,9.3
Cotton,Sandy loam,6.1 - 8.1,Jul,24.7,DAP,Top Dressing,3,78,Leaf Spot,No treatment needed,22.48
Sugarcane,Sandy loam,7.1 - 7.9,Nov,19.4,Compost,Top Dressing,6,129,No major disease,Spray insecticide,27.77
Radish,Black soil,6.8 - 8.0,Dec,16.2,Urea,Basal,2,113,Anthracnose,Spray insecticide,31.89
Onion,Alluvial,5.7 - 8.3,Feb,12.4,DAP,Both,2,123,Wilt,Remove infected parts,9.47
Chili,Sandy loam,5.8 - 8.2,Jan,28.5,Vermicompost,Basal,4,136,No major disease,Use fungicide,31.42
Finger Millet,Sandy loam,7.5 - 7.6,Nov,24.5,Compost,Both,2,171,Root Rot,No treatment needed,14.09
Groundnut,Clay,5.8 - 7.7,Apr,20.4,DAP,Both,6,148,Wilt,Spray insecticide,20.26
Peas,Alluvial,6.2 - 8.2,Mar,24.6,NPK,Basal,8,176,No major disease,Apply neem extract,20.11
Pineapple,Sandy loam,5.9 - 7.8,Feb,4.4,Vermicompost,Top Dressing,8,66,No major disease,Use crop rotation,13.8
Orange,Clay,7.1 - 8.3,Sep,4.1,NPK,Basal,2,64,Downy Mildew,Use fungicide,17.24
Beetroot,Black soil,6.9 - 8.4,Feb,16.5,NPK,Top Dressing,2,101,No major disease,Use fungicide,22.16
Pineapple,Alluvial,7.3 - 7.8,Dec,21.2,DAP,Basal,6,151,Blight,Spray insecticide,13.92
Onion,Black soil,6.6 - 8.0,Sep,27.1,Vermicompost,Basal,4,165,Downy Mildew,Use crop rotation,16.58
Carrot,Alluvial,7.3 - 8.4,Jul,13.4,Vermicompost,Basal,4,88,Powdery Mildew,No treatment needed,18.52
Okra,Clay,5.9 - 8.0,Feb,27.5,Compost,Top Dressing,5,72,Leaf Spot,Use crop rotation,6.83
Sesame,Clay,7.4 - 8.0,Feb,5.3,Compost,Basal,6,178,Rust,Apply neem extract,23.83
Banana,Black soil,7.5 - 7.9,Oct,3.1,NPK,Both,7,78,Wilt,Use fungicide,13.79
Carrot,Loamy,7.1 - 8.0,Jul,12.3,Vermicompost,Top Dressing,2,180,Rust,No treatment needed,33.46
Grapes,Alluvial,5.9 - 8.0,Jul,25.0,NPK,Top Dressing,6,111,Anthracnose,No treatment needed,19.02
Lemon,Black soil,5.7 - 8.2,Mar,16.4,NPK,Basal,6,133,Blight,Use fungicide,9.16
Soybean,Sandy loam,7.4 - 7.7,Jul,13.5,NPK,Top Dressing,2,93,Downy Mildew,No treatment needed,8.93
Tomato,Clay,7.0 - 7.7,May,24.9,Compost,Basal,8,67,Root Rot,Spray insecticide,30.1
Pineapple,Alluvial,7.4 - 7.7,Oct,17.7,Urea,Top Dressing,6,139,No major disease,Apply neem extract,13.71
Radish,Sandy loam,5.8 - 8.4,Jun,6.7,Urea,Top Dressing,7,109,Powdery Mildew,Use crop rotation,13.3
Barley,Black soil,6.2 - 8.1,Oct,18.3,DAP,Top Dressing,8,169,Root Rot,Use crop rotation,32.46
Cabbage,Clay,6.0 - 8.4,Sep,13.6,NPK,Top Dressing,4,134,No major disease,Use crop rotation,28.64
Mango,Alluvial,5.7 - 8.0,Jan,18.9,NPK,Top Dressing,4,68,Leaf Spot,Use crop rotation,14.12
Coffee,Black soil,7.4 - 7.8,Aug,11.5,Urea,Top Dressing,4,114,Blight,Use fungicide,14.1
Tea,Sandy loam,7.4 - 8.3,Jun,20.8,DAP,Basal,3,112,Blight,Use fungicide,8.2
Chili,Black soil,5.5 - 8.4,Jun,17.4,Urea,Top Dressing,8,105,Powdery Mildew,Spray insecticide,17.08
Tomato,Sandy loam,5.6 - 8.1,Aug,24.5,DAP,Top Dressing,5,108,Stem Borer,No treatment needed,34.19
Beetroot,Loamy,6.2 - 8.2,Aug,19.8,DAP,Both,4,135,Stem Borer,Spray insecticide,26.92
Apple,Sandy loam,6.5 - 7.9,Nov,13.4,DAP,Both,7,154,Leaf Spot,Spray insecticide,10.8
Pearl Millet,Clay,6.7 - 7.9,Jan,12.4,DAP,Both,6,88,No major disease,No treatment needed,29.93
Cotton,Sandy loam,5.9 - 8.2,Mar,11.3,Vermicompost,Top Dressing,2,86,Anthracnose,Spray insecticide,15.16
Groundnut,Clay,7.0 - 8.3,Jul,26.6,Compost,Both,3,122,Rust,No treatment needed,33.49
Brinjal,Alluvial,5.5 - 7.6,Feb,9.1,DAP,Basal,7,76,Anthracnose,Spray insecticide,34.37
Ginger,Alluvial,5.7 - 7.9,Aug,5.9,DAP,Basal,5,176,Leaf Spot,Apply neem extract,26.3
Pumpkin,Clay,5.9 - 8.0,Dec,10.2,Urea,Both,3,169,Wilt,Remove infected parts,19.55
Tea,Clay,7.3 - 8.5,Oct,4.2,NPK,Both,8,75,Leaf Spot,Use crop rotation,22.37
Sweet Corn,Black soil,6.2 - 8.4,May,4.3,Vermicompost,Basal,5,101,Powdery Mildew,Spray insecticide,18.37
Green Gram,Clay,7.3 - 8.0,Apr,14.0,Compost,Basal,3,167,Powdery Mildew,Use fungicide,26.94
Sesame,Alluvial,7.3 - 8.2,Jul,8.5,NPK,Basal,2,62,Wilt,Use fungicide,7.3
Rice,Sandy loam,6.9 - 8.5,Feb,6.1,Urea,Both,5,137,Anthracnose,Spray insecticide,28.06
Cotton,Black soil,6.2 - 7.8,Sep,26.4,Compost,Basal,3,103,No major disease,No treatment needed,29.61
Green Gram,Loamy,6.2 - 8.0,Jul,9.1,DAP,Basal,3,124,Anthracnose,Use crop rotation,7.15
Finger Millet,Black soil,6.3 - 8.3,Mar,4.9,NPK,Both,7,129,Rust,Use fungicide,31.16
Brinjal,Clay,7.3 - 7.7,Nov,27.8,NPK,Top Dressing,3,88,Powdery Mildew,Apply neem extract,13.93
Black Gram,Loamy,6.0 - 8.5,Mar,15.5,Urea,Both,8,99,Powdery Mildew,Apply neem extract,13.41
Cabbage,Clay,6.8 - 7.7,Jun,27.9,Vermicompost,Top Dressing,7,165,Blight,Apply neem extract,15.8
Sorghum,Sandy loam,5.8 - 8.4,Dec,15.9,DAP,Basal,6,71,Stem Borer,Remove infected parts,9.29
Guava,Sandy loam,5.6 - 7.8,Nov,29.5,Urea,Top Dressing,6,180,Root Rot,Remove infected parts,10.34
Turmeric,Loamy,7.0 - 7.9,Feb,21.4,NPK,Top Dressing,5,92,Blight,Use fungicide,18.3
Cotton,Clay,7.1 - 7.9,Jul,9.9,DAP,Both,6,107,Wilt,Spray insecticide,18.24
Radish,Sandy loam,7.4 - 8.2,Feb,27.0,NPK,Top Dressing,5,71,Stem Borer,Use fungicide,30.99
Sweet Corn,Loamy,7.4 - 8.4,Jan,9.9,Vermicompost,Both,8,125,Rust,Apply neem extract,21.78
Brinjal,Black soil,6.1 - 8.4,Jul,3.8,DAP,Both,2,125,Stem Borer,Use crop rotation,29.85
Coriander,Sandy loam,6.8 - 8.0,Jan,6.1,Urea,Top Dressing,6,147,Wilt,Use fungicide,14.13
Potato,Loamy,6.8 - 8.4,Jan,21.5,DAP,Top Dressing,5,151,Anthracnose,Apply neem extract,34.8
Brinjal,Loamy,6.2 - 7.9,May,15.8,Urea,Basal,6,91,Anthracnose,Use fungicide,29.24
Lemon,Clay,6.7 - 7.8,Feb,24.9,NPK,Top Dressing,3,163,Rust,Spray insecticide,25.22
Coriander,Alluvial,5.8 - 7.7,Jul,3.3,Urea,Top Dressing,5,114,Powdery Mildew,Use fungicide,5.08
Okra,Clay,7.5 - 7.9,Nov,14.8,Vermicompost,Both,5,103,Leaf Spot,Remove infected parts,5.75
Cabbage,Black soil,5.8 - 8.1,Jul,24.8,DAP,Both,4,146,Downy Mildew,Spray insecticide,7.32
Cotton,Alluvial,6.3 - 8.1,May,14.7,NPK,Both,2,173,Rust,Apply neem extract,11.3
Bottle Gourd,Alluvial,7.4 - 7.7,Nov,22.7,NPK,Basal,7,168,Wilt,Remove infected parts,30.12
Rice,Loamy,7.4 - 8.0,Feb,22.6,Urea,Top Dressing,5,87,Stem Borer,Remove infected parts,33.08
Tea,Loamy,5.9 - 7.9,Jul,20.7,DAP,Basal,5,152,No major disease,Remove infected parts,20.43
Wheat,Clay,7.1 - 7.7,Dec,28.4,Compost,Both,4,81,Wilt,Apply neem extract,9.67
Sorghum,Loamy,6.5 - 7.7,Feb,5.3,Compost,Both,2,159,Wilt,Use crop rotation,13.38
Brinjal,Loamy,7.5 - 8.1,Jan,27.2,Urea,Both,4,105,Blight,Use fungicide,23.49
Sorghum,Alluvial,5.9 - 8.2,Nov,10.3,NPK,Basal,6,171,Leaf Spot,No treatment needed,21.98
Brinjal,Loamy,6.5 - 7.7,Aug,10.0,NPK,Both,8,108,Anthracnose,Remove infected parts,34.59
Maize,Sandy loam,7.2 - 8.2,Aug,27.0,Vermicompost,Both,3,153,Wilt,Apply neem extract,16.39
Cabbage,Loamy,7.4 - 8.1,Jul,13.4,DAP,Both,5,95,Leaf Spot,Apply neem extract,28.84
Wheat,Clay,6.5 - 8.4,Sep,25.2,Compost,Top Dressing,6,70,Rust,No treatment needed,7.53
Green Gram,Alluvial,6.3 - 7.8,Jun,5.5,Compost,Basal,6,66,No major disease,Remove infected parts,5.63
Pigeon Pea,Loamy,5.5 - 8.4,Oct,27.4,DAP,Basal,2,140,Downy Mildew,Apply neem extract,26.42
Sugarcane,Sandy loam,6.4 - 7.9,Dec,15.8,Compost,Basal,5,121,Stem Borer,Apply neem extract,27.98
Coriander,Sandy loam,5.8 - 8.0,Apr,20.9,NPK,Both,8,154,Downy Mildew,Apply neem extract,12.42
Pearl Millet,Black soil,6.0 - 7.9,Jul,27.1,Vermicompost,Both,4,79,Anthracnose,Spray insecticide,33.9
Beetroot,Clay,6.9 - 8.1,Aug,20.1,Urea,Basal,4,167,Stem Borer,No treatment needed,21.86
Pearl Millet,Clay,5.6 - 7.9,Mar,13.9,Urea,Basal,7,114,Powdery Mildew,Use fungicide,11.07
Cotton,Clay,7.5 - 8.3,Apr,20.4,Vermicompost,Basal,4,99,Wilt,Apply neem extract,13.7
Coriander,Clay,6.8 - 7.9,May,5.0,NPK,Top Dressing,6,80,Wilt,No treatment needed,23.8
Spinach,Black soil,7.1 - 8.0,Oct,6.8,Vermicompost,Top Dressing,8,94,Anthracnose,Apply neem extract,14.79
Brinjal,Alluvial,6.3 - 8.4,Apr,10.3,Vermicompost,Top Dressing,8,160,Downy Mildew,Remove infected parts,19.71
Maize,Alluvial,5.9 - 8.5,Apr,9.0,NPK,Basal,4,161,Rust,Use crop rotation,27.61
Sesame,Sandy loam,7.0 - 8.5,Nov,11.6,DAP,Basal,5,89,Rust,Spray insecticide,30.41
Tea,Alluvial,6.7 - 7.7,Aug,8.4,Urea,Both,2,153,Wilt,Use crop rotation,11.53
Cauliflower,Loamy,6.2 - 8.0,Aug,12.3,DAP,Both,7,140,Wilt,Apply neem extract,21.25
Tomato,Black soil,6.0 - 8.1,Jun,14.2,Urea,Both,3,114,No major disease,Spray insecticide,34.96
Cotton,Alluvial,6.5 - 7.8,Aug,11.6,Urea,Basal,7,145,Root Rot,Remove infected parts,13.12
Okra,Sandy loam,7.2 - 7.6,May,28.0,NPK,Top Dressing,6,148,Stem Borer,Use fungicide,8.12
Groundnut,Clay,6.2 - 7.7,Oct,15.7,DAP,Basal,3,95,Rust,Use fungicide,5.36
Tomato,Sandy loam,7.4 - 8.3,Aug,15.0,DAP,Top Dressing,4,80,No major disease,Spray insecticide,27.38
Ginger,Black soil,7.5 - 8.2,Dec,23.9,Compost,Basal,7,103,Wilt,Apply neem extract,14.21
Cabbage,Clay,7.5 - 8.4,Mar,3.9,Vermicompost,Top Dressing,4,84,Blight,Remove infected parts,28.19
Tomato,Clay,7.4 - 8.2,Oct,22.2,Urea,Top Dressing,4,106,Anthracnose,Spray insecticide,32.42
Orange,Black soil,7.0 - 7.6,Apr,4.0,Urea,Top Dressing,3,170,Wilt,Remove infected parts,14.16
Coffee,Black soil,7.1 - 8.5,Feb,13.5,Urea,Top Dressing,6,93,Anthracnose,Use crop rotation,13.28
Rice,Sandy loam,5.9 - 8.1,Jan,13.9,DAP,Basal,7,70,Anthracnose,No treatment needed,12.65
Cauliflower,Loamy,6.5 - 8.2,Dec,12.9,Compost,Basal,3,176,Root Rot,Apply neem extract,30.15
Pearl Millet,Loamy,6.0 - 8.1,Jan,4.0,Vermicompost,Basal,8,177,Downy Mildew,Spray insecticide,13.88
Mango,Alluvial,5.9 - 7.9,Feb,27.8,Compost,Both,5,77,No major disease,No treatment needed,27.69
Wheat,Sandy loam,6.3 - 8.2,Jul,16.7,Vermicompost,Basal,4,137,Powdery Mildew,Use crop rotation,13.43
Ginger,Clay,6.0 - 7.9,Apr,7.8,Vermicompost,Both,7,100,Leaf Spot,Apply neem extract,34.09
Wheat,Alluvial,6.1 - 7.6,Jun,12.8,Vermicompost,Basal,5,123,Anthracnose,No treatment needed,10.29
Chickpea,Loamy,6.1 - 7.6,Dec,29.2,Vermicompost,Basal,7,116,Powdery Mildew,Use fungicide,17.26
Okra,Alluvial,5.6 - 7.7,Dec,12.4,NPK,Basal,3,103,Blight,Remove infected parts,21.02
Groundnut,Clay,6.3 - 8.2,Apr,8.2,Compost,Both,5,126,Leaf Spot,Use fungicide,23.61
Pumpkin,Black soil,6.7 - 8.2,Sep,26.9,Compost,Both,8,101,Blight,Remove infected parts,21.88
Grapes,Loamy,6.2 - 7.7,Apr,4.1,Compost,Basal,3,107,Leaf Spot,Spray insecticide,17.64
Radish,Black soil,5.6 - 8.2,Nov,8.0,NPK,Both,7,86,Blight,Use fungicide,20.47
Soybean,Alluvial,6.3 - 8.5,Apr,5.2,Compost,Basal,2,81,Wilt,Use crop rotation,7.32
Pumpkin,Black soil,6.5 - 7.9,Mar,26.8,Vermicompost,Basal,5,147,Rust,Remove infected parts,11.46
Radish,Loamy,6.9 - 8.5,Feb,19.1,Vermicompost,Both,7,160,Wilt,Remove infected parts,26.23
Apple,Loamy,7.2 - 8.5,Feb,9.8,DAP,Basal,4,173,Leaf Spot,Use fungicide,31.74
Brinjal,Alluvial,6.9 - 7.8,May,22.0,Vermicompost,Both,5,160,Rust,No treatment needed,24.95
Green Gram,Black soil,7.1 - 8.4,Sep,12.5,Urea,Both,2,151,Stem Borer,Use fungicide,31.52
Garlic,Black soil,7.1 - 7.8,May,6.7,DAP,Basal,4,129,Leaf Spot,Use fungicide,18.03
Cabbage,Loamy,7.4 - 8.2,Jun,29.4,Compost,Top Dressing,5,129,Anthracnose,No treatment needed,5.44
Chili,Loamy,6.3 - 8.3,Jun,18.2,DAP,Top Dressing,4,73,Anthracnose,Apply neem extract,26.07
Maize,Clay,5.9 - 8.4,May,14.1,NPK,Both,8,73,Downy Mildew,Use fungicide,14.88
Beetroot,Alluvial,7.2 - 8.0,Mar,24.6,Vermicompost,Top Dressing,4,118,Stem Borer,Apply neem extract,16.47
Sesame,Clay,7.3 - 8.1,Aug,27.9,Vermicompost,Top Dressing,3,178,Blight,Use crop rotation,8.21
Beetroot,Alluvial,6.7 - 7.8,Feb,5.8,Compost,Basal,6,115,Stem Borer,No treatment needed,33.37
Rice,Clay,7.4 - 7.7,Oct,25.2,NPK,Both,4,176,Wilt,Apply neem extract,6.0
Guava,Black soil,5.8 - 7.8,May,28.4,NPK,Basal,3,143,Powdery Mildew,Use crop rotation,17.16
Tomato,Sandy loam,7.3 - 7.8,Nov,7.6,NPK,Top Dressing,7,123,Rust,Use fungicide,30.15
Sunflower,Alluvial,6.8 - 7.6,Apr,29.2,NPK,Basal,3,160,Stem Borer,Use crop rotation,7.33
Cauliflower,Sandy loam,7.3 - 8.4,Aug,16.7,Vermicompost,Basal,8,158,Root Rot,No treatment needed,20.55
Spinach,Black soil,7.3 - 8.2,Jan,11.7,Urea,Both,8,120,Stem Borer,Remove infected parts,31.52
Chickpea,Clay,7.3 - 8.2,Jul,24.1,DAP,Both,4,117,Leaf Spot,Use fungicide,7.51
Rice,Alluvial,7.3 - 7.9,Feb,14.7,Vermicompost,Top Dressing,4,80,Stem Borer,Use crop rotation,28.51
Black Gram,Clay,6.1 - 8.1,Aug,6.0,NPK,Top Dressing,8,157,Blight,Remove infected parts,28.56
Coriander,Black soil,6.0 - 8.3,Oct,30.0,Vermicompost,Top Dressing,6,114,No major disease,Use fungicide,21.8
Guava,Clay,5.9 - 8.4,Mar,12.1,Compost,Both,4,175,No major disease,Use crop rotation,13.97
Mustard,Loamy,6.7 - 7.6,Apr,23.1,DAP,Basal,6,64,Blight,Apply neem extract,15.66
Pumpkin,Sandy loam,7.4 - 7.7,Apr,27.4,Compost,Both,5,164,Downy Mildew,Spray insecticide,21.27
Chili,Clay,7.1 - 8.2,Dec,14.3,Urea,Basal,6,140,Leaf Spot,Use fungicide,34.28
Radish,Loamy,7.0 - 8.0,Nov,21.6,NPK,Basal,8,122,Stem Borer,Apply neem extract,12.22
Finger Millet,Loamy,7.5 - 7.7,Jul,18.7,Urea,Basal,5,60,Anthracnose,Use crop rotation,20.51
Pearl Millet,Clay,6.1 - 8.2,Sep,27.0,Urea,Basal,5,154,No major disease,Apply neem extract,26.44
Bottle Gourd,Alluvial,6.9 - 7.9,Jul,18.4,Compost,Top Dressing,7,107,Powdery Mildew,Apply neem extract,10.39
Coriander,Sandy loam,7.2 - 7.7,Apr,20.7,DAP,Both,6,113,Powdery Mildew,Use fungicide,24.64
Ginger,Black soil,6.9 - 7.7,Jun,5.2,Compost,Basal,2,144,Anthracnose,Spray insecticide,23.72
Banana,Black soil,6.9 - 8.5,Sep,17.9,NPK,Both,4,142,Root Rot,Use crop rotation,19.74
Okra,Black soil,5.6 - 7.7,Jan,5.1,Urea,Both,7,84,No major disease,Spray insecticide,17.4
Orange,Black soil,7.0 - 7.7,Mar,11.2,Urea,Top Dressing,7,99,Wilt,Spray insecticide,22.8
Groundnut,Alluvial,6.0 - 8.4,Dec,15.1,NPK,Both,5,110,Powdery Mildew,Use crop rotation,11.63
Sorghum,Loamy,6.6 - 8.1,Sep,25.8,Urea,Basal,5,178,Root Rot,Apply neem extract,20.95
Radish,Sandy loam,6.4 - 8.3,Jun,26.5,NPK,Both,7,149,Anthracnose,Use fungicide,18.51
Coriander,Alluvial,6.2 - 7.6,Jan,21.7,NPK,Basal,4,159,Stem Borer,Use crop rotation,6.28
Peas,Sandy loam,7.1 - 8.2,Jan,27.1,NPK,Top Dressing,7,177,Wilt,Apply neem extract,20.56
Lemon,Alluvial,7.3 - 7.8,Nov,17.3,Urea,Both,8,179,Powdery Mildew,No treatment needed,6.74
Beetroot,Clay,7.0 - 7.8,Mar,29.6,Compost,Basal,2,97,Blight,Use fungicide,22.24
Peas,Alluvial,5.6 - 8.0,Jul,29.6,Compost,Basal,6,138,Wilt,Apply neem extract,16.29
Black Gram,Loamy,6.4 - 8.0,Jun,10.6,Urea,Basal,5,167,No major disease,Remove infected parts,15.93
Cauliflower,Black soil,7.2 - 8.2,Jun,13.5,Compost,Basal,4,92,No major disease,No treatment needed,14.67
Pigeon Pea,Loamy,6.3 - 8.4,Nov,16.2,Vermicompost,Top Dressing,2,167,Stem Borer,Spray insecticide,24.52
Apple,Alluvial,7.1 - 8.2,Nov,14.0,DAP,Top Dressing,4,94,Wilt,Use crop rotation,30.88
Wheat,Black soil,6.9 - 8.0,Nov,3.0,Urea,Top Dressing,2,154,Leaf Spot,Remove infected parts,29.98
Tomato,Clay,6.3 - 8.4,Jun,11.4,NPK,Both,4,105,Anthracnose,Spray insecticide,25.68
Guava,Alluvial,5.9 - 8.3,Mar,18.0,Urea,Top Dressing,5,127,Anthracnose,Spray insecticide,9.94
Cabbage,Sandy loam,6.2 - 7.7,Dec,22.1,Vermicompost,Basal,4,122,No major disease,Remove infected parts,5.7
Sweet Corn,Clay,5.9 - 8.0,Jul,23.9,DAP,Both,3,92,Blight,Use crop rotation,17.07
Spinach,Sandy loam,6.1 - 7.8,Mar,16.3,DAP,Basal,3,114,Blight,Remove infected parts,10.28
Spinach,Clay,7.4 - 7.7,Oct,25.8,DAP,Top Dressing,5,63,Leaf Spot,Apply neem extract,29.72
Sesame,Loamy,6.5 - 7.9,Sep,26.1,NPK,Top Dressing,7,76,Anthracnose,Apply neem extract,31.29
Wheat,Black soil,6.5 - 8.4,Apr,4.9,DAP,Basal,6,64,Stem Borer,Remove infected parts,10.05
Pumpkin,Alluvial,5.6 - 8.0,Jul,12.4,NPK,Both,3,174,Blight,Spray insecticide,28.14
Cauliflower,Sandy loam,7.4 - 7.9,Sep,7.6,NPK,Basal,3,101,Root Rot,Use fungicide,24.08
Coriander,Loamy,6.8 - 8.2,Feb,28.2,Compost,Both,4,108,Leaf Spot,Use crop rotation,9.27
Ginger,Black soil,6.1 - 8.2,Mar,8.0,Compost,Top Dressing,5,134,Powdery Mildew,Apply neem extract,6.62
Potato,Alluvial,6.8 - 7.8,Oct,11.6,NPK,Both,7,96,Downy Mildew,Remove infected parts,7.3
