label,treatment
Tomato___Powdery_mildew_73,Seed treatment with thiram; avoid waterlogging
Brinjal___Rust_34,Seed treatment with thiram; avoid waterlogging
Corn___Bacterial_spot_97,Apply carbendazim + captan mixture
Corn___Mosaic,Apply copper fungicide; rotate crops
Mango___Mosaic_52,Seed treatment with thiram; avoid waterlogging
Onion___Powdery_mildew_5,Apply copper fungicide; rotate crops
Grape___Rust_82,Remove affected leaves; apply neem oil
Apple___Powdery_mildew,Use sulfur-based sprays; increase spacing
Cauliflower___Bacterial_spot_80,Apply copper fungicide; rotate crops
Corn___Early_blight_52,Use resistant varieties; apply mancozeb
Grape___Bacterial_spot_97,Spray biological agents like Trichoderma
Onion___Root_rot_26,Spray biological agents like Trichoderma
Grape___Late_blight,Drench soil with fungicide solution
Cauliflower___Leaf_spot_1,Spray with triazole fungicides
Apple___Powdery_mildew_76,Apply carbendazim + captan mixture
Banana___Mosaic_72,Spray biological agents like Trichoderma
Mango___Bacterial_spot_97,Seed treatment with thiram; avoid waterlogging
Apple___Root_rot_30,Use resistant varieties; apply mancozeb
Mango___Root_rot_74,Apply carbendazim + captan mixture
Corn___Anthracnose_3,Remove affected leaves; apply neem oil
Pea___Late_blight_1,Spray with triazole fungicides
Grape___Wilt_22,Spray with triazole fungicides
Pea___Anthracnose_89,Drench soil with fungicide solution
Chili___Rust_4,Use organic mulch and improve drainage
Rice___Leaf_spot_47,Spray biological agents like Trichoderma
Chili___Bacterial_spot_53,Drench soil with fungicide solution
Mango___Late_blight_71,Spray biological agents like Trichoderma
Grape___Leaf_spot_12,Apply copper fungicide; rotate crops
Cabbage___Root_rot_84,Drench soil with fungicide solution
Rice___Wilt_65,Spray biological agents like Trichoderma
Cauliflower___Root_rot_23,Use resistant varieties; apply mancozeb
Tomato___Anthracnose_68,Remove affected leaves; apply neem oil
Cabbage___Leaf_spot_9,Apply carbendazim + captan mixture
Brinjal___Wilt_46,Drench soil with fungicide solution
Potato___Mosaic_95,Apply copper fungicide; rotate crops
Soybean___Late_blight,Use sulfur-based sprays; increase spacing
Rice___Root_rot_33,Apply carbendazim + captan mixture
Cauliflower___Rust_40,Drench soil with fungicide solution
Pea___Leaf_spot_70,Drench soil with fungicide solution
Chili___Rust,Apply copper fungicide; rotate crops
Grape___Bacterial_spot_78,Use sulfur-based sprays; increase spacing
Potato___Mosaic,Spray with triazole fungicides
Soybean___Late_blight_34,Use organic mulch and improve drainage
Pea___Leaf_spot_94,Apply carbendazim + captan mixture
Tomato___Leaf_spot_8,Seed treatment with thiram; avoid waterlogging
Potato___Mosaic_42,Drench soil with fungicide solution
Tomato___Leaf_spot_36,Use resistant varieties; apply mancozeb
Mango___Anthracnose_47,Use organic mulch and improve drainage
Soybean___Anthracnose_81,Drench soil with fungicide solution
Mango___Bacterial_spot_71,Spray biological agents like Trichoderma
Chili___Mosaic_90,Use organic mulch and improve drainage
Pea___Root_rot_4,Drench soil with fungicide solution
Tomato___Root_rot_49,Apply carbendazim + captan mixture
Rice___Powdery_mildew_42,Use organic mulch and improve drainage
Chili___Late_blight_46,Apply copper fungicide; rotate crops
Soybean___Wilt_13,Seed treatment with thiram; avoid waterlogging
Brinjal___Root_rot_58,Use sulfur-based sprays; increase spacing
Tomato___Early_blight_60,Use sulfur-based sprays; increase spacing
Grape___Bacterial_spot_39,Remove affected leaves; apply neem oil
Potato___Root_rot_88,Seed treatment with thiram; avoid waterlogging
Cabbage___Early_blight,Apply carbendazim + captan mixture
Banana___Root_rot_28,Use organic mulch and improve drainage
Cabbage___Anthracnose_33,Spray with triazole fungicides
Grape___Anthracnose_72,Seed treatment with thiram; avoid waterlogging
Tomato___Wilt_93,Spray with triazole fungicides
Chili___Root_rot_28,Remove affected leaves; apply neem oil
Pea___Rust_1,Seed treatment with thiram; avoid waterlogging
Corn___Wilt,Use sulfur-based sprays; increase spacing
Tomato___Bacterial_spot_73,Use sulfur-based sprays; increase spacing
Grape___Rust_45,Drench soil with fungicide solution
Brinjal___Early_blight_48,Spray with triazole fungicides
Mango___Bacterial_spot_90,Use sulfur-based sprays; increase spacing
Tomato___Late_blight,Apply metalaxyl; remove infected plants
Apple___Powdery_mildew_80,Seed treatment with thiram; avoid waterlogging
Potato___Root_rot_90,Apply carbendazim + captan mixture
Rice___Root_rot_18,Seed treatment with thiram; avoid waterlogging
Banana___Early_blight,Use resistant varieties; apply mancozeb
